Facultad,Docente,Código Plan,Carrera,Id Asignatura,Asignatura,Sección,¿Que opina del profesor?,Sentimiento,% Sentimiento,Emocion,% Emocion,Discurso_Odio,Prob_Odio,Prob_Dirigido,Prob_Agresivo
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56017,GESTION DE RIESGOS EN MINERIA,10,necesitas un curso de computación.,Neutral,0.7683,Otro,0.9861,No detectado,0.0352,0.0121,0.0181
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,GE02,GEOLOGÍA PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,11,no tengo.,Negativo,0.4830,Otro,0.8882,No detectado,0.0808,0.0294,0.0498
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,GE02,GEOLOGÍA PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,10,no tengo comentarios.,Negativo,0.5232,Otro,0.7242,No detectado,0.0321,0.0071,0.0184
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56017,GESTION DE RIESGOS EN MINERIA,10,"positivo, dominio de la materia y experiencia, lo negativo, constantemente hay que recordarlee lo que vimos las clases pasadas, no preparación de clases sus ppts con buena información pero da la sensación que son preparados hace años, no deja en claro las evaluaciones, materias no pasadas en su totalidad, criterios de evaluación inflexibles, no da avisos generales a los estudiantes de cuando no hará clases o de subida de materia. mucha lectura de ppts, por lo que las pruebas se regian deacuerdo a lo textual de la diapositiva, haciendo pruebas memorionas y no realmente de lo que se entiende o no sobre la materia.",Negativo,0.9236,Otro,0.8731,No detectado,0.0601,0.0037,0.0229
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,11,problemas con aula virtual.,Negativo,0.8304,Otro,0.9050,No detectado,0.0559,0.0085,0.0256
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,10,problemas con las plataformas como aula virtual.,Negativo,0.8880,Otro,0.6883,No detectado,0.0651,0.0057,0.0240
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56017,GESTION DE RIESGOS EN MINERIA,10,"profesor aplica notas sin una pauta. correccion de informes y presentaciones con nota que le tinca.. las pruebas si la respuesta de desarrollo no dice la palabra especifica que el espera. está mala la respuesta, aunque la oracion tenga el mismo sentido.",Negativo,0.9044,Otro,0.8896,No detectado,0.0610,0.0068,0.0249
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,11,sin comentarios.,Neutral,0.4468,Otro,0.6370,No detectado,0.0500,0.0090,0.0231
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,10,sin comentarios.,Neutral,0.4468,Otro,0.6370,No detectado,0.0500,0.0090,0.0231
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56015,ECONOMIA MINERA,10,"solo presenta problemas tecnologicos, como el uso de aula virtual.",Negativo,0.8206,Otro,0.9883,No detectado,0.0420,0.0076,0.0161
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,GE02,GEOLOGÍA PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,10,"un muy buen profesor con harta paciencia, sus pruebas son un gran desafío.",Positivo,0.9709,Otro,0.6033,No detectado,0.0185,0.0070,0.0095
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,GE02,GEOLOGÍA PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,10,un profesor muy viejito para enseñar.,Negativo,0.9350,Otro,0.9909,No detectado,0.0622,0.0189,0.0182
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,"buen profesor, pero explica mal.",Negativo,0.6667,Otro,0.9614,No detectado,0.0277,0.0190,0.0156
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,"buen profesor , con mucha experiencia.",Positivo,0.9136,Otro,0.9533,No detectado,0.0201,0.0143,0.0108
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,buen profesor que nos apoyá bastante a lo largo del año a pesar de las dificultades que tuvimos que pasar.,Positivo,0.9040,Alegría,0.8694,No detectado,0.0128,0.0065,0.0076
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,creo que al profesor le falta un poco mas de sistemas digitales como revit autocad etc etc.,Neutral,0.5989,Otro,0.9812,No detectado,0.0182,0.0058,0.0091
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,el profesor enseña muy bien ya que sabe mucho por los años que lleva de arquitecto.,Positivo,0.9648,Otro,0.9927,No detectado,0.0115,0.0071,0.0061
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,"el profesor hizo un buen trabajo en taller v, en general sus retroalimentaciones y experiencia nos sirviá mucho para llegar al proyecto.",Positivo,0.9801,Alegría,0.6966,No detectado,0.0108,0.0063,0.0066
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,excelente profesor.,Positivo,0.9060,Alegría,0.9409,No detectado,0.0124,0.0121,0.0102
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,gracias por todo!.,Positivo,0.8861,Alegría,0.9907,No detectado,0.0180,0.0154,0.0135
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,"he aprendido bastante del profesor, refleja muy bien su trayectoria y experiencia.",Positivo,0.9750,Alegría,0.8534,No detectado,0.0090,0.0086,0.0063
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,"lejos, el mejor taller que he tenido. excelente experiencia.",Positivo,0.9776,Alegría,0.9903,No detectado,0.0094,0.0065,0.0074
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,me gusta su forma de enseñar.,Positivo,0.9443,Alegría,0.6901,No detectado,0.0202,0.0233,0.0142
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,muy buen profesor.,Positivo,0.9677,Alegría,0.9051,No detectado,0.0123,0.0104,0.0094
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,muy buen profesor.,Positivo,0.9677,Alegría,0.9051,No detectado,0.0123,0.0104,0.0094
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,"muy buenas dinámicas de clases, llenas de aprendizaje. buenos métodos de enseñanza tanto profesor como ayudante.",Positivo,0.9700,Alegría,0.9840,No detectado,0.0154,0.0046,0.0095
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,muy interesante.,Positivo,0.9241,Alegría,0.6157,No detectado,0.0204,0.0102,0.0162
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,"perfecto profesor, dando enfasis a la creatividad e ideas de los estudiantes.",Positivo,0.9588,Alegría,0.8171,No detectado,0.0156,0.0076,0.0079
FACULTAD DE INGENIERIA Y ARQUITECTURA,OSM,AR03,ARQUITECTURA PLAN 2015,11064,TALLER V: PROYECTO Y CIUDAD,10,"profesor con mucha energia, conocimientos y ganas de enseñar.",Positivo,0.9529,Alegría,0.8317,No detectado,0.0169,0.0079,0.0091
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,CO05,INGENIERÍA EN CONSTRUCCIÓN PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,"a diferencia de otros profesores el comportamiento de oscar catalán no fue el apropiado, esto debido a su falta de empatía con el resto, actitudes desafiantes e infantiles como enojarse porque otro compañero llega tarde, interrumpe la continuidad de la clase por más de un tiempo prudente, dándole lecciones a cada uno de que deben llegar a la hora con una pésima disposición, además de realizar ejercicios y equivocarse en reiteradas ocasiones, aludiendo a una frase repetitiva sin credibilidad: ""era para ver si estaban atentos"", este dicho lo habrá hablado más de 20 veces durante el semestre dando a entender que no se encuentra capacitado para resolver ejercicios del todo, teniendo que verificar su seguridad a través de las respuestas de sus estudiantes, su manera de enseñar no era la apropiada ya que gran mayorí­a de curso decí­a no entender lo que enseñaba.",Negativo,0.9796,Ira,0.9499,No detectado,0.0154,0.0049,0.0120
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,CO05,INGENIERÍA EN CONSTRUCCIÓN PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,a mí parecer el profesor debería hacer ejercicios acorde a la clase anterior antes de comenzar inmediatamente con algo nuevo para poder aclarar las dudas que quedarón de antes.,Neutral,0.8337,Otro,0.9958,No detectado,0.0170,0.0060,0.0087
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,"al ser externo, no se podí­a acercar a él presencial para hacerle preguntas; faltó varias veces sin avisarnos como sección pero tiene buena enseñanza.",Neutral,0.6718,Otro,0.9955,No detectado,0.0252,0.0069,0.0123
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,aveces no respondia dudas o no explicaba bien las dudas.,Negativo,0.6027,Otro,0.9799,No detectado,0.0436,0.0068,0.0197
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,31,buen docente.,Positivo,0.8689,Alegría,0.8098,No detectado,0.0230,0.0187,0.0216
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,3231,CALCULO II,31,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,30,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,buen profesor en general.,Positivo,0.7928,Otro,0.8735,No detectado,0.0126,0.0082,0.0096
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,OB07,INGENIERÍA CIVIL EN OBRAS CIVILES PLAN 2017,3231,CALCULO II,31,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,CI02,INGENIERÍA CIVIL INDUSTRIAL (PLAN 2015),58000,INTRODUCCION A LAS MATEMATICAS,51,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,OB07,INGENIERÍA CIVIL EN OBRAS CIVILES PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,31,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,30,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,buen profesor con muy buenas ideas.,Positivo,0.9713,Otro,0.5901,No detectado,0.0211,0.0075,0.0115
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,"buen profesor dentro de lo que cabe, queda clara la materia.",Positivo,0.8819,Otro,0.9814,No detectado,0.0200,0.0077,0.0087
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,buen profesor lo unico que no se acompañaba con el de ejercicio.,Neutral,0.5924,Otro,0.9756,No detectado,0.0468,0.0223,0.0213
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IC05,INGENIERÍA CIVIL EN COMPUTACIÓN E INFORMÁTICA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,"buen profesor, exigente, responsable siempre llegando a la hora a clases.",Positivo,0.8148,Otro,0.8333,No detectado,0.0345,0.0149,0.0170
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,"buen profesor, nada que decir.",Positivo,0.8755,Otro,0.9103,No detectado,0.0161,0.0113,0.0096
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,"buen profesor, solo en algunas situaciones le falta paciencia.",Neutral,0.5208,Otro,0.9881,No detectado,0.0234,0.0102,0.0105
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,30,"buen profesor, solo que demora un poco a la hora de entregar calificaciones de las evaluaciones y realiza muy pocos controles.",Negativo,0.6156,Otro,0.9930,No detectado,0.0183,0.0073,0.0107
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,OB07,INGENIERÍA CIVIL EN OBRAS CIVILES PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,buena.,Positivo,0.4375,Alegría,0.8671,No detectado,0.0866,0.0550,0.0752
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,"buena disposición para enseñar, pero debería llevar la clase con un poquito menos de rapidez al explicar.",Neutral,0.5048,Otro,0.9904,No detectado,0.0275,0.0121,0.0125
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,OB07,INGENIERÍA CIVIL EN OBRAS CIVILES PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,buena metodologia de divulgacion pero muy mala actitud con el alumnado.,Negativo,0.8590,Ira,0.8301,No detectado,0.0341,0.0105,0.0148
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,OB07,INGENIERÍA CIVIL EN OBRAS CIVILES PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,buenas enseñanzas.,Positivo,0.8789,Alegría,0.7393,No detectado,0.0384,0.0081,0.0238
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,OB07,INGENIERÍA CIVIL EN OBRAS CIVILES PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,bueno.,Neutral,0.4849,Otro,0.8337,No detectado,0.0527,0.0147,0.0360
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,como solo tene ejercicios con él puedo decir que su aprenderia a resolver ejercicios durante el semestre.,Positivo,0.7104,Otro,0.9811,No detectado,0.0156,0.0074,0.0089
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,CO05,INGENIERÍA EN CONSTRUCCIÓN PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,"cambiaria el método de explicación del profesor 
incluiría mas guías y trabajos para reforzar.",Neutral,0.8382,Otro,0.9964,No detectado,0.0266,0.0079,0.0111
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,CO05,INGENIERÍA EN CONSTRUCCIÓN PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,"completo dominio de la materia, buen acto del habla, excelente relator, exigente.",Positivo,0.9531,Otro,0.6071,No detectado,0.0128,0.0078,0.0083
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IC05,INGENIERÍA CIVIL EN COMPUTACIÓN E INFORMÁTICA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,30,"considero que el profesor tiene muy buen conocimiento acerca de la materia que implica, pero no siento que lo suyo sea la docencia, me gustaría que se tomen en cuenta los puntos que no cumple y lo que siento yo que le faltan, agradezco su intento de enseñanza pero no siento que lo haga bien o lo haga con intenciones de enseñar.",Negativo,0.6062,Otro,0.9743,No detectado,0.0128,0.0060,0.0081
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,31,"critica a muchos solo con la mirada, no relaciona nada con la carrera, si un estudiante no entendio el ejercicio se enoja y lo unico que dice es ""y como no vas a saber"" y hace el ejercicio otra vez de mala gana, y amenaza diciendo ""ya iran para calculo"", solo critica y enseña de mala manera, la otra vez miro super mal a un compañero e hizo una mirada de disgusto solo porque el no lo escucho decir ""presente"" y si lo dijo, estaba justo al lado mio.",Negativo,0.9652,Ira,0.8991,No detectado,0.1013,0.0131,0.0437
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,30,cuando uno no sabe muy bien la materia y pregunta se lo toma mal y no da un buen trato al estudiante.,Negativo,0.9746,Ira,0.4812,No detectado,0.0201,0.0060,0.0107
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,31,de vez en cuando es muy pesado para responder cuando el estudiante le pregunta algo que no entiende.,Negativo,0.9050,Otro,0.9960,No detectado,0.0145,0.0063,0.0080
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,CO05,INGENIERÍA EN CONSTRUCCIÓN PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,debe mejorar su actitud porque siento yo que su actitud es de estar obligado a ir a clases y no por querer educar.,Negativo,0.8966,Otro,0.9372,No detectado,0.0321,0.0124,0.0146
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,CO05,INGENIERÍA EN CONSTRUCCIÓN PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,debería esperar que los estudiantes terminen los ejercicios antes de resolverlos en la pizarra.,Neutral,0.8207,Otro,0.9949,No detectado,0.0947,0.0044,0.0247
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,OB07,INGENIERÍA CIVIL EN OBRAS CIVILES PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,debería mejorar la forma en la que explica.,Neutral,0.6458,Otro,0.9926,No detectado,0.0293,0.0189,0.0142
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,30,demuestra un buen desempeño como profesor.,Positivo,0.9362,Otro,0.9577,No detectado,0.0127,0.0123,0.0075
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,31,depende de la manera en la que el estudiabte entienda es recomendado el profesor.,Neutral,0.7549,Otro,0.9968,No detectado,0.0215,0.0077,0.0101
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,31,el profesor a pesar de tener un carácter estricto mantiene una buena comunicación y enseña con una buena metodología.,Positivo,0.9022,Otro,0.9874,No detectado,0.0141,0.0077,0.0087
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,OB07,INGENIERÍA CIVIL EN OBRAS CIVILES PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,el profesor aveces explica rapido y nos enreda en el aprendisaje.,Negativo,0.8338,Otro,0.9819,No detectado,0.0814,0.0146,0.0302
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,OB07,INGENIERÍA CIVIL EN OBRAS CIVILES PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,"el profesor es cumplido, respetuoso,conocedor y manejador de los temas enseñados. con esto produciendo respeto y aprendizaje de los temas.",Positivo,0.8981,Otro,0.9404,No detectado,0.0137,0.0067,0.0077
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,GE02,GEOLOGÍA PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,51,"el profesor explica más de 1 vez si algún estudiante no entiende, siempre se asegura que todos puedan entender y hace ejercicios variados para aprender con distintos ejercicios.",Neutral,0.6092,Otro,0.9961,No detectado,0.0149,0.0054,0.0080
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,OB07,INGENIERÍA CIVIL EN OBRAS CIVILES PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,50,"empatico , siempre responsable con respectos a nosotros los estudiantes con cautelacion al aprendizaje y autonomía en aprender.",Positivo,0.6559,Otro,0.7683,No detectado,0.0264,0.0061,0.0110
FACULTAD DE INGENIERIA Y ARQUITECTURA,OECM,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,58000,INTRODUCCION A LAS MATEMATICAS,30,enseña bien.,Positivo,0.6398,Otro,0.5826,No detectado,0.0443,0.0204,0.0361
